Database ID,Date,Title,Filename,Sub Title,FirstLine,Category,Sub-Category,Sub-Sub_Category,Engineers,Station ID,Summary Description,Comments,Dating Notes
1952mmddK,1952,1952 Jean Shepherd KYW Phila.,,,,Radio,KYW Show,,Tom,Speaking of the haunted,,,
19530123K,"January 23, 1953",1953 Jean Shepherd KYW Phila.,1953-01-23_030 Radio KYW.mp3,,,Radio,KYW Show,,Tom,Speaking of the haunted,,,
19530124K,"January 24, 1953",1953 Jean Shepherd KYW Phila.,1953-01-24_030 KYW.mp3,,,Radio,KYW Show,,,,This was the last broadcast on KYW in Philadelphia. He returned to Cincinnati to work briefly at WLW on the radio and doing a TV show called Bumpers,"Mentions that he started broadcasting on KYW April 4, 1951 and he is heading for WLW in Cincinnati.",
19560909W,"September 9, 1956",No Time for Heros,1956-09-09_500_No_Time_For_Heros.mp3,,,Radio,WOR Show,,,,,,
19570602W3047,"June 2, 1957",I Want a Scroll,,,,Radio,WOR Show,,,,,,Possibly 6/2?
19570616W0047,"June 16, 1957",Early Shep; Granite Knee,1957-06-16_010_Granite_Knee.mp3,,,Radio,WOR Show,,,,"""Excelsior""
Keep your eye on the subject.
Let's all honor knees.
I'm here and you're there.
3rd Grade and knee dadeling
Shep is disappointed
Protective Coloration
The Status Symbol of Ice","This is the first hour from an episode of the 9:05pm to 1:00am shows Shep did. Since it was recorded with a 'live mike' in front of a radio, you can hear background noises from the household, and even an old propeller airplane flying overhead, adding to the nostalgia.","The broadcast labeled ""1957 Granite Knee"" appears to be the 1957-06-16 show (Shep mentions at the 9:42 mark that it's June 16th, and at the 16:00 mark, that it's Sunday)."
195706ddW3040,June 1957,Being On The Tonight Show,,,,Radio,WOR Show,,,,"Shep talks a call from listener.
Next Thursday - 15 minutes on Tonight Show
Jean Shepherd - ""He died sustaining""",,
1957mmddW0051,1957,Hurling Invectives,,,,Radio,WOR Show,,,,,,
1957mmddW3041,1957,Armenian Wedding,,,,Radio,WOR Show,,,,,,
1957mmddW3042,1957,Audition For Nedicks,,,,Radio,WOR Show,,,,". . . and he said, what is it - - - Shepherd? What's the matter?  Aren't you an artist? And naturally I bridled at that. Not only an artist but a gentleman and an old Nedicks customer from way back - they kept me alive through one of the darkest years of my whole career - and he said ""Well come on, let's hear it."" And so all these assembled vice presidents are standing around, he says ""come on, I want you to sing it. Now sing it out Shepherd."" And so the guy hit the ""A"" on the piano there and I went ""Nedicks, Schmidics, double beaticks, popkins all agree. . .the pinch - (chuckle)"" And - and - and all these guys were sitting and looking at me and they take this seriously - they're all sitting there with their iron hats on and one guy nudges the other guy and says ""Are we spending dough for this?"" And the other guy says ""No they're doing it free."" And I says - ""NO, OH NO - I getting dough for this."" I'm not going to let, you know  (? Not distinguisable) begin to sneak in on me. He says, ""You mean you're paying this guy for this - he can't even sing."" And so they hit another ""A"" and I tried it again ""Nedicks, Schmidics, double beaticks, pipkins all - aw gee (chuckle) what you have to do to sell hot dogs these days!""",,
1957mmddW3043,1957,Cancelled Streetcar Transfers,,,,Radio,WOR Show,,,,,,
